feature,class_label
"[-0.00338557 -0.00438244 -0.00374803 ... -0.00551363 -0.0055131
 -0.00515604]",down
[0.00142555 0.00185493 0.00125375 ... 0.00420303 0.00331703 0.00233385],down
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.97783901e-06
 1.54123554e-05 1.46977945e-05]",down
"[ 0.00117249  0.00160838  0.00257463 ... -0.00065951 -0.00043115
 -0.00026468]",down
"[ 2.2622378e-05  3.0288225e-04  7.3623075e-04 ... -3.5274113e-04
 -1.2670892e-04  7.0710121e-05]",down
[0.00551317 0.00895695 0.00785645 ... 0.02176037 0.0197792  0.01965713],down
[0.00075618 0.00107509 0.0008582  ... 0.0007081  0.00124967 0.00177643],down
"[-0.00143173 -0.00249455 -0.00309652 ... -0.00024342 -0.00033275
 -0.00051072]",down
"[ 0.00841883  0.01108172  0.00974289 ... -0.00371449 -0.00341833
 -0.0029139 ]",down
"[-3.74382980e-05 -1.09836816e-04 -1.41667726e-04 ...  6.58803547e-05
  7.41368276e-05  6.12328877e-05]",down
"[-0.00095094 -0.00170678 -0.00127221 ... -0.00017795 -0.00017713
 -0.00014047]",down
"[-2.1934309e-05  3.9710707e-05  7.7122073e-05 ... -9.3037979e-06
 -3.3010165e-05 -3.4533172e-05]",down
"[5.2007945e-05 9.1535308e-05 8.4332249e-05 ... 1.5243071e-05 2.2513259e-05
 3.7093097e-05]",down
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.0223322e-05
 -1.9593857e-05 -1.5355774e-05]",down
"[3.1189305e-05 5.7475874e-05 7.4613010e-05 ... 2.2556424e-05 1.4993493e-05
 2.0350046e-05]",down
"[-0.00123546 -0.00196502 -0.00207053 ... -0.00096096 -0.0012659
 -0.00131065]",down
"[-0.00880746 -0.01130866 -0.00944543 ... -0.00854581 -0.00893708
 -0.00933904]",down
"[7.1717470e-05 4.1976944e-04 4.9342314e-04 ... 2.7460576e-04 2.7209823e-04
 2.7763966e-04]",down
"[ 1.21606325e-04  4.20702272e-04  8.37935135e-04 ...  1.15492228e-04
 -1.04434557e-05 -1.94430213e-05]",down
"[-0.00079381 -0.00124935 -0.00054609 ...  0.00078554  0.00110014
  0.00159638]",down
[0.00321459 0.00551385 0.00510771 ... 0.00184541 0.00268104 0.0023586 ],down
[0.00427326 0.00709082 0.00586509 ... 0.00252828 0.00276352 0.00282543],down
"[-2.27068304e-05 -6.40601047e-06 -1.29187365e-05 ... -8.06885146e-05
 -8.14315135e-05 -6.12429358e-05]",down
"[ 6.1608633e-05  2.9239018e-04  3.0769300e-04 ... -3.9489451e-04
 -3.8190017e-04 -2.8001348e-04]",down
"[-4.2120251e-07 -2.2981480e-06  2.0026673e-05 ... -2.3476493e-06
  4.0674008e-06  1.7744776e-05]",down
"[-8.1264341e-05 -1.5090493e-04 -1.5610048e-04 ... -5.1377654e-05
  1.1909411e-05  4.8668702e-05]",down
