,model,truelabel,total_correct,total,accuracy_percentage
0,saved_model_3class_1900,gaesaekki,32,40,80.0%
1,saved_model_3class_1900,others,14,40,35.0%
2,saved_model_3class_1900,shibal,32,40,80.0%
3,saved_model_3class_3000,gaesaekki,7,40,17.5%
4,saved_model_3class_3000,others,37,40,92.5%
5,saved_model_3class_3000,shibal,22,40,55.0%
6,saved_model_3class_3200,gaesaekki,20,40,50.0%
7,saved_model_3class_3200,others,29,40,72.5%
8,saved_model_3class_3200,shibal,32,40,80.0%
9,saved_model_3class_3800,gaesaekki,15,40,37.5%
10,saved_model_3class_3800,others,30,40,75.0%
11,saved_model_3class_3800,shibal,34,40,85.0%
12,saved_model_3class_4200,gaesaekki,13,40,32.5%
13,saved_model_3class_4200,others,36,40,90.0%
14,saved_model_3class_4200,shibal,26,40,65.0%
15,saved_model_3class_hundred_thousand,gaesaekki,2,40,5.0%
16,saved_model_3class_hundred_thousand,others,40,40,100.0%
17,saved_model_3class_hundred_thousand,shibal,4,40,10.0%
18,saved_model_3class_v2,gaesaekki,39,40,97.5%
19,saved_model_3class_v2,others,0,40,0.0%
20,saved_model_3class_v2,shibal,32,40,80.0%
